sum,id,auth,term,quality,doi
2903,1290,3,2900,sucess-download,"Marques, E. S.; Severance, E. G.; Min, B.; Arsenault, P.; Conlin, S. M.; Timme-Laragy, A. R. Developmental impacts of Nrf2 activation by dimethyl fumarate (DMF) in the developing zebrafish (Danio rerio) embryo. Free radical biology & medicine. 2022. https://doi.org/10.1016/j.freeradbiomed.2022.12.013."
2702,889,2,2700,sucess-download,"Mas-Rosario, J. A.; Medor, J. D.; Jeffway, M. I.; Martínez-Montes, J. M.; Farkas, M. E. Murine macrophage-based iNos reporter reveals polarization and reprogramming in the context of breast cancer. Frontiers in oncology. 2023. https://doi.org/10.3389/fonc.2023.1151384."
2508,577,8,2500,sucess-download,"Xue, Z.; Ren, K.; Wu, R.; Sun, Z.; Zheng, R.; Tian, Q.; Ali, A. A.; Mi, L.; You, M. Targeted RNA condensation in living cells via genetically encodable triplet repeat tags. Nucleic acids research. 2023. https://doi.org/10.1093/nar/gkad621."
2405,39,5,2400,sucess-download,"Liu, M. J.; Yeh, F. J.; Yvon, R.; Simpson, K.; Jordan, S.; Chambers, J.; Wu, H. M.; Cheung, A. Y. Extracellular pectin-RALF phase separation mediates FERONIA global signaling function. Cell. 2024. https://doi.org/10.1016/j.cell.2023.11.038."
2202,357,2,2200,sucess-download,"Berg, I. K.; Currey, M. L.; Gupta, S.; Berrada, Y.; Nguyen, B. V.; Pho, M.; Patteson, A. E.; Schwarz, J. M.; Banigan, E. J.; Stephens, A. D. Transcription inhibition suppresses nuclear blebbing and rupture independently of nuclear rigidity. Journal of cell science. 2023. https://doi.org/10.1242/jcs.261547."
1806,1027,6,1800,sucess-download,"Liu, B.; Jiang, W.; Ye, Y.; Liu, L.; Wei, X.; Zhang, Q.; Xing, B. 2D MoS Small (Weinheim an der Bergstrasse, Germany). 2023. https://doi.org/10.1002/smll.202208063."
1802,214,2,1800,sucess-download,"Liu, L.; Ashraf, M. A.; Morrow, T.; Facette, M. Stomatal closure in maize is mediated by subsidiary cells and the PAN2 receptor. The New phytologist. 2023. https://doi.org/10.1111/nph.19379."
1502,537,2,1500,sucess-download,"Zhu, L.; Shen, Y.; Deng, S.; Wan, Y.; Luo, J.; Su, Y.; You, M.; Fan, C.; Ren, K. Controllable mitochondrial aggregation and fusion by a programmable DNA binder. Chemical science. 2023. https://doi.org/10.1039/d2sc07095b."
1502,103,2,1500,sucess-download,"Park, Y.; Sato, T.; Lee, J. Functional and analytical recapitulation of osteoclast biology on demineralized bone paper. Nature communications. 2023. https://doi.org/10.1038/s41467-023-44000-9."
1402,1421,2,1400,sucess-download,"Scarpa, G. B.; Starrett, J. R.; Li, G. L.; Brooks, C.; Morohashi, Y.; Yazaki-Sugiyama, Y.; Remage-Healey, L. Estrogens rapidly shape synaptic and intrinsic properties to regulate the temporal precision of songbird auditory neurons. Cerebral cortex (New York, N.Y. : 1991). 2022. https://doi.org/10.1093/cercor/bhac280."
1307,279,7,1300,sucess-download,"Makabenta, J. M.; Nabawy, A.; Chattopadhyay, A. N.; Park, J.; Li, C. H.; Goswami, R.; Luther, D. C.; Huang, R.; Hassan, M. A.; Rotello, V. M. Antimicrobial-loaded biodegradable nanoemulsions for efficient clearance of intracellular pathogens in bacterial peritonitis. Biomaterials. 2023. https://doi.org/10.1016/j.biomaterials.2023.122344."
1303,946,3,1300,sucess-download,"Nan, Q.; Liang, H.; Mendoza, J.; Liu, L.; Fulzele, A.; Wright, A.; Bennett, E. J.; Rasmussen, C. G.; Facette, M. R. The OPAQUE1/DISCORDIA2 myosin XI is required for phragmoplast guidance during asymmetric cell division in maize. The Plant cell. 2023. https://doi.org/10.1093/plcell/koad099."
1202,593,2,1200,sucess-download,"do Rosário, C. F.; Zhang, Y.; Stadnicki, J.; Ross, J. L.; Wadsworth, P. Lateral and longitudinal compaction of PRC1 overlap zones drives stabilization of interzonal microtubules. Molecular biology of the cell. 2023. https://doi.org/10.1091/mbc.E23-02-0049."
